# Protein-1,# Protein-2
SKP1,CTNNB1
SKP1,NFKB1
SKP1,PSMC2
SMAD1,CREBBP
SMAD1,NUP214
SMAD1,RAN
SMAD1,SMAD2
SMAD1,SMAD4
SMAD1,SP1
SMAD1,TGFBR1
SMAD1,TGFBR2
SMAD1,TP53
SMAD1,VDR
SMAD1,VIM
SMAD2,NUP214
SMAD2,RAN
SMAD2,SMAD4
SMAD2,SP1
SMAD2,SPEN
SMAD2,STAT1
SMAD2,STAT2
SMAD2,STAT3
SMAD2,STAT5A
SMAD2,TGFBR1
SMAD2,TGFBR2
SMAD2,TP53
SMAD2,VDR
SMAD2,VIM
SMAD4,STAT1
